incident_zip,complaint_count,population,complaints_per_1000
11235,5873,81958.0,71.65865443275825
11236,1332,95174.0,13.995418916931094
11237,1856,45233.0,41.03198991886455
11238,5208,58462.0,89.0835072354692
11239,120,16047.0,7.478033277248084
11241,1,,
11243,1,,
11249,993,45353.0,21.894913236169604
11354,970,52325.0,18.53798375537506
11355,959,79802.0,12.017242675622166
11356,522,26956.0,19.3648909333729
11357,1542,42341.0,36.418601355659995
11358,1653,36496.0,45.29263480929417
11360,546,19510.0,27.985648385443362
11361,1474,30402.0,48.48365239129004
11362,729,18156.0,40.152015862524784
11363,772,7515.0,102.72787757817697
11364,1530,36417.0,42.0133454156026
11365,1270,43258.0,29.358731332932635
11366,595,12967.0,45.88570987892342
11367,980,42210.0,23.217247097844112
11368,1443,107060.0,13.478423314029516
11369,539,33354.0,16.159980811896624
11370,656,28762.0,22.80787149711425
11372,2768,66995.0,41.31651615792224
11373,1680,99433.0,16.895799181358303
11374,938,46128.0,20.334720776968435
11375,2376,75320.0,31.545406266595855
11377,1400,83545.0,16.75743611227482
11378,1133,37828.0,29.95135878185471
11379,1773,37378.0,47.43431965327198
11385,5740,103865.0,55.26404467337409
11411,665,20501.0,32.43744207599629
11412,766,41350.0,18.52478839177751
11413,852,45072.0,18.903088391906284
11414,2133,31090.0,68.6072692183982
11415,599,21379.0,28.018148650544926
11416,506,26660.0,18.97974493623406
11417,779,30091.0,25.888139310757367
11418,1466,36304.0,40.38122520934332
11419,1169,46938.0,24.90519408581533
11420,940,50060.0,18.777467039552537
11421,972,41937.0,23.17762357822448
11422,580,33085.0,17.530602992292582
11423,612,29105.0,21.02731489434805
11426,767,19638.0,39.056930440981766
11427,610,25124.0,24.2795733163509
11428,583,18898.0,30.849825378346914
11429,506,27933.0,18.114774639315502
11430,5,448.0,11.160714285714286
11432,1490,63730.0,23.379883885140437
11433,522,37777.0,13.817931545649468
11434,657,67611.0,9.71735368505125
11435,965,58424.0,16.517184718608792
11436,326,21364.0,15.259314735068338
11691,608,68704.0,8.849557522123893
11692,192,23247.0,8.259130210349722
11693,574,13066.0,43.93081279657125
11694,2378,21430.0,110.96593560429305
11695,1,,
11697,12,4123.0,2.910502061605627
12222,1,,
12345,1,,
