incident_zip,complaint_count,population,complaints_per_1000
10301,4251,39799.0,106.81172893791302
10302,1713,19693.0,86.98522317574772
10303,1219,25993.0,46.89724156503674
10304,3969,45843.0,86.57810352725608
10305,3632,41714.0,87.06908951431174
10306,8973,57249.0,156.73636220720013
10307,2050,14821.0,138.3172525470616
10308,3954,29996.0,131.8175756767569
10309,4436,34918.0,127.04049487370412
10310,2562,25824.0,99.21003717472118
10312,9817,63345.0,154.97671481569182
10314,9912,93539.0,105.96649525866216
10396,1,,
10451,589,48975.0,12.026544155181215
10452,767,76745.0,9.994136425825786
10453,1155,78270.0,14.75661172863166
10454,522,40368.0,12.931034482758621
10455,633,42940.0,14.741499767116908
10456,1024,86958.0,11.775799811403207
10457,950,79375.0,11.968503937007874
10458,1215,78741.0,15.43033489541662
10459,912,49753.0,18.33055293148152
10460,1120,61101.0,18.330305559647144
10461,3993,50900.0,78.44793713163065
10462,2209,75452.0,29.27689126862111
10463,3365,69373.0,48.505902872875616
10464,827,4273.0,193.54083781886263
10465,4073,46457.0,87.67247131756248
10466,3605,74061.0,48.67609133011977
10467,2494,96304.0,25.89715899651105
10468,1179,79825.0,14.769808957093643
10469,4670,69855.0,66.85276644477847
10470,1114,15558.0,71.60303380897287
10471,2287,23400.0,97.73504273504273
10472,1588,63820.0,24.882481980570354
10473,1764,59778.0,29.509183980728697
10474,480,11188.0,42.90311047550947
10475,439,42771.0,10.263963900773888
10580,1,,
10708,1,,
10803,20,13096.0,1.5271838729383018
11001,932,25714.0,36.2448471649685
11004,3096,14296.0,216.5640738668159
11005,43,2195.0,19.58997722095672
11040,703,42344.0,16.602116002267145
11101,1170,39007.0,29.994616350911375
11102,1340,28349.0,47.26798123390596
11103,2038,35357.0,57.64063693186639
11104,1761,26825.0,65.64771668219944
11105,3465,38507.0,89.98363933830213
11106,1625,40657.0,39.96851710652532
11109,6,7388.0,0.8121277747698972
111234,1,,
11137,1,,
11201,2872,69251.0,41.472325309381816
11203,4580,76853.0,59.59429039855308
11204,6069,81368.0,74.58706125258087
11205,1622,50205.0,32.3075390897321
11206,1250,89231.0,14.00858446055743
11207,3832,93445.0,41.008079619027235
11208,3493,106901.0,32.675091907465784
11209,7088,70756.0,100.17525015546384
11210,6681,60398.0,110.6162455710454
11211,2617,65691.0,39.838029562649375
